Quarter,Average Rent (€)
2007-10-01,1312.69
2008-01-01,1330.38
2008-04-01,1325.04
2008-07-01,1286.54
2008-10-01,1255.72
2009-01-01,1226.67
2009-04-01,1186.17
2009-07-01,1144.61
2009-10-01,1096.14
2010-01-01,1066.53
2010-04-01,1040.01
2010-07-01,1028.87
2010-10-01,1012.69
2011-01-01,1005.93
2011-04-01,1001.7
2011-07-01,1010.31
2011-10-01,1012.44
2012-01-01,1015.07
2012-04-01,1016.39
2012-07-01,1033.08
2012-10-01,1035.03
2013-01-01,1035.74
2013-04-01,1044.08
2013-07-01,1075.88
2013-10-01,1089.72
2014-01-01,1104.65
2014-04-01,1127.72
2014-07-01,1176.96
2014-10-01,1197.66
2015-01-01,1217.76
2015-04-01,1239.38
2015-07-01,1285.35
2015-10-01,1296.4
2016-01-01,1309.72
2016-04-01,1330.17
2016-07-01,1375.78
2016-10-01,1397.22
2017-01-01,1423.26
2017-04-01,1448.92
2017-07-01,1499.23
2017-10-01,1521.72
2018-01-01,1551.24
2018-04-01,1572.66
2018-07-01,1622.4
2018-10-01,1635.65
2019-01-01,1654.13
2019-04-01,1670.52
2019-07-01,1702.71
2019-10-01,1703.05
2020-01-01,1723.09
2020-04-01,1719.66
2020-07-01,1741.82
2020-10-01,1730.93
2021-01-01,1738.69
2021-04-01,1741.09
2021-07-01,1769.63
2021-10-01,1769.67
2022-01-01,1806.25
2022-04-01,1827.79
2022-07-01,1863.34
2022-10-01,1883.2
2023-01-01,1914.06
2023-04-01,1938.98
2023-07-01,1978.87
2023-10-01,1997.39
2024-01-01,2053.86
2024-04-01,2072.1
2024-07-01,2114.2
